Cluster,Category_Bamboos,Category_Bromeliads,Category_Cacti & Succulents,Category_Climbers,Category_Creepers & Vines,Category_Ferns,Category_Flowering Pot Plants,Category_Fruit Plants,Category_Grasses & Grass like plants,Category_Groundcovers_lawns,Category_Indoor Plants,Category_Lilies & Bulbous plants,Category_Medicinal Plants,Category_Orchids,Category_Palms and Cycads,Category_Rose_Hybrid_Climbers,Category_Rose_Miniature_Floribundas,Category_Shrubs,Category_Spice plants & edible Herbs,Category_Terrific Tropicals  The Ideal Gifts,Category_Trees,Category_Vegetable,Category_Water & Aquatic Plants,Flowering_Season_Apr_May_Summer,Flowering_Season_Dec_Jan_Winter,Flowering_Season_Feb_Mar_Spring,Flowering_Season_Flowers are inconspicuous,Flowering_Season_Flowers once in many years,Flowering_Season_Jun_Sep_Monsoon,Flowering_Season_Non Flowering,Flowering_Season_Oct_Nov_Autumn,Flowering_Season_Year_round_flowering,Foliage_Color_Blue,Foliage_Color_Blue Grey or Silver,Foliage_Color_Bronze or coppery,Foliage_Color_Brown,Foliage_Color_Cream or off white,Foliage_Color_Green,Foliage_Color_Orange,Foliage_Color_Pink,Foliage_Color_Purple,Foliage_Color_Red,Foliage_Color_Variegated,Foliage_Color_Very dark green almost black,Foliage_Color_White,Foliage_Color_Yellow,Height_or_Length_1 to 2 meters,Height_or_Length_2 to 4 meters,Height_or_Length_4 to 6 meters,Height_or_Length_50 cms to 100 cms,Height_or_Length_6 to 8 meters,Height_or_Length_8 to 12 meters,Height_or_Length_Less than 50 cms,Height_or_Length_More than 12 meters,Light_Low light tolerant,Light_Semi shade,Light_Shade growing,Light_Sun growing,Plant_Form_Climbing or growing on support,Plant_Form_Columnar,Plant_Form_Irregular,Plant_Form_Low spreading,Plant_Form_Oval,Plant_Form_Pyramidal,Plant_Form_Spherical or rounded,Plant_Form_Spreading,Plant_Form_Upright or Erect,Plant_Form_Weeping,Primary_Grown_for_Flowers,Primary_Grown_for_Foliage,Primary_Grown_for_Fruit or Seed,Primary_Grown_for_Roots or tubers,Primary_Grown_for_Stems or Timber,Spread_or_Width_1 to 2 meters,Spread_or_Width_2 to 4 meters,Spread_or_Width_4 to 6 meters,Spread_or_Width_6 to 8 meters,Spread_or_Width_8 to 12 meters,Spread_or_Width_More than 12 meters,Spread_or_Width_less_than_1_meter,Water_Can tolerate more,Water_Normal,Water_Requires more,Water_Requires_less
10,0.009523809523809525,0.0,0.0,1.0,1.0,0.0,0.02857142857142857,0.0,0.009523809523809525,0.0761904761904762,0.0,0.009523809523809525,0.06666666666666667,0.009523809523809525,0.0,0.0,0.0,0.29523809523809524,0.009523809523809525,0.009523809523809525,0.009523809523809525,0.0380952380952381,0.009523809523809525,0.26666666666666666,0.0761904761904762,0.2761904761904762,0.009523809523809525,0.009523809523809525,0.19047619047619047,0.0,0.11428571428571428,0.6285714285714286,0.0,0.01904761904761905,0.0,0.0,0.02857142857142857,1.0,0.0,0.0,0.009523809523809525,0.009523809523809525,0.10476190476190476,0.0,0.06666666666666667,0.009523809523809525,0.0380952380952381,0.22857142857142856,0.1619047619047619,0.0,0.2761904761904762,0.06666666666666667,0.0,0.22857142857142856,0.0,0.9333333333333333,0.05714285714285714,0.9904761904761905,0.9809523809523809,0.0,0.01904761904761905,0.009523809523809525,0.0,0.0,0.0,0.0,0.0,0.0,0.819047619047619,0.1619047619047619,0.0380952380952381,0.009523809523809525,0.0,0.0,0.01904761904761905,0.0,0.01904761904761905,0.009523809523809525,0.0,0.009523809523809525,0.7142857142857143,0.9904761904761905,0.009523809523809525,0.20952380952380953
11,0.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.9489795918367347,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01020408163265306,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.9897959183673469,0.0,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,1.0,0.01020408163265306,0.0,0.0,0.061224489795918366,0.0,0.0,0.0,0.8673469387755102,0.5510204081632653,0.0,0.9897959183673469,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9897959183673469,0.0,1.0,0.0,0.01020408163265306
12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8823529411764706,0.9411764705882353,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0196078431372549,0.058823529411764705,0.0,0.058823529411764705,0.13725490196078433,0.17647058823529413,0.0,0.0196078431372549,0.5098039215686274,0.0,0.0,0.29411764705882354,0.0,0.0196078431372549,1.0,0.803921568627451,0.3137254901960784,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.8431372549019608,0.13725490196078433,0.0784313725490196,0.0,1.0,0.0,0.0,0.0,0.21568627450980393,0.0196078431372549,0.0,0.0,0.0,0.0,0.7450980392156863,0.6470588235294118,0.6862745098039216,0.3137254901960784,0.0
13,0.10416666666666667,0.0,0.041666666666666664,0.0,0.0,0.0,0.4583333333333333,0.020833333333333332,0.10416666666666667,0.7291666666666666,0.0625,0.22916666666666666,0.14583333333333334,0.14583333333333334,0.0,0.0,0.0,0.10416666666666667,0.041666666666666664,0.0,0.020833333333333332,0.041666666666666664,0.041666666666666664,0.4791666666666667,0.4583333333333333,0.8541666666666666,0.0,0.0,0.5416666666666666,0.0,0.6041666666666666,0.0,0.0,0.020833333333333332,0.0,0.020833333333333332,0.0,0.9791666666666666,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.0,0.0,0.4791666666666667,0.0,0.0,0.5,0.0,0.0,0.875,0.08333333333333333,0.8541666666666666,0.0,0.020833333333333332,0.0,0.0625,0.0,0.0,0.1875,0.7291666666666666,0.4375,0.0,0.8958333333333334,0.10416666666666667,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3958333333333333,1.0,0.0,0.14583333333333334
14,0.21686746987951808,0.04819277108433735,0.060240963855421686,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.0,0.21686746987951808,0.9518072289156626,0.3253012048192771,0.0,0.04819277108433735,0.0,0.0,0.0,0.0,0.012048192771084338,0.04819277108433735,0.0,0.0,0.03614457831325301,0.060240963855421686,0.024096385542168676,0.03614457831325301,0.04819277108433735,0.9036144578313253,0.0,0.03614457831325301,0.012048192771084338,0.012048192771084338,0.1566265060240964,0.0,0.0963855421686747,0.03614457831325301,0.08433734939759036,0.060240963855421686,0.8674698795180723,0.0,0.060240963855421686,0.12048192771084337,0.1566265060240964,0.3132530120481928,0.0,0.12048192771084337,0.024096385542168676,0.0,0.012048192771084338,0.0,0.012048192771084338,0.0,0.0,0.9759036144578314,0.0,0.012048192771084338,0.9156626506024096,0.43373493975903615,0.7590361445783133,0.0,0.0,0.0,0.7590361445783133,0.0,0.0,0.03614457831325301,0.1927710843373494,0.024096385542168676,0.03614457831325301,0.012048192771084338,0.9518072289156626,0.012048192771084338,0.024096385542168676,0.0,0.012048192771084338,0.012048192771084338,0.0,0.0,0.0,0.0,0.9759036144578314,0.37349397590361444,0.9518072289156626,0.03614457831325301,0.1686746987951807
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745222929936306,0.025477707006369428,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9363057324840764,0.01910828025477707,0.044585987261146494,0.0,0.0,0.0,0.0,0.0,0.0,0.012738853503184714,0.0,1.0,0.044585987261146494,0.012738853503184714,0.006369426751592357,0.0,0.0,0.0,0.0,0.006369426751592357,0.9426751592356688,0.0,1.0,0.0,0.0,0.0,0.0,0.9426751592356688,0.012738853503184714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.1,0.0,0.13333333333333333,0.0,0.21666666666666667,0.0,0.06666666666666667,0.0,0.0,0.7,0.05,0.0,0.95,0.0,0.016666666666666666,0.26666666666666666,0.16666666666666666,0.31666666666666665,0.65,0.1,0.08333333333333333,0.0,0.11666666666666667,0.1,0.016666666666666666,0.13333333333333333,0.016666666666666666,0.0,0.05,0.9666666666666667,0.0,0.03333333333333333,0.0,0.05,0.11666666666666667,0.0,0.03333333333333333,0.08333333333333333,0.0,0.016666666666666666,0.06666666666666667,0.0,0.6166666666666667,0.26666666666666666,0.0,0.03333333333333333,0.0,0.8833333333333333,0.08333333333333333,1.0,0.0,0.03333333333333333,0.16666666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.1,0.5833333333333334,0.75,0.06666666666666667,0.03333333333333333,0.8666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.05,0.5666666666666667,0.31666666666666665,0.05,0.0,0.016666666666666666,0.9,0.9833333333333333,0.0,0.5666666666666667
17,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9130434782608695,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.9565217391304348,0.9565217391304348,0.0,0.0,0.08695652173913043,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,1.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.9130434782608695,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,1.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.9565217391304348,1.0,0.0,1.0
18,0.15853658536585366,0.024390243902439025,0.036585365853658534,0.0,0.0,0.0,0.024390243902439025,0.024390243902439025,0.15853658536585366,0.5975609756097561,0.4024390243902439,0.012195121951219513,0.14634146341463414,0.012195121951219513,0.012195121951219513,0.0,0.0,0.6951219512195121,0.07317073170731707,0.0,0.0,0.012195121951219513,0.10975609756097561,0.0,0.06097560975609756,0.036585365853658534,0.8048780487804879,0.0,0.06097560975609756,0.0,0.07317073170731707,0.3048780487804878,0.0,0.036585365853658534,0.036585365853658534,0.036585365853658534,0.07317073170731707,0.926829268292683,0.04878048780487805,0.06097560975609756,0.12195121951219512,0.10975609756097561,0.2926829268292683,0.036585365853658534,0.14634146341463414,0.17073170731707318,0.036585365853658534,0.0,0.0,0.9634146341463414,0.0,0.0,0.0,0.0,0.012195121951219513,0.9878048780487805,0.3048780487804878,0.9512195121951219,0.012195121951219513,0.0,0.0,0.036585365853658534,0.024390243902439025,0.0,0.17073170731707318,0.7439024390243902,0.4024390243902439,0.04878048780487805,0.0,0.9512195121951219,0.06097560975609756,0.0,0.0,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.0,0.0,0.9390243902439024,0.8048780487804879,0.975609756097561,0.024390243902439025,0.43902439024390244
19,0.021739130434782608,0.0,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.0,0.10869565217391304,0.0,0.021739130434782608,0.9782608695652174,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.0,0.0,0.0,0.17391304347826086,0.043478260869565216,0.0,0.0,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,1.0,0.0,0.021739130434782608,0.0,0.021739130434782608,0.021739130434782608,0.9782608695652174,0.0,0.0,0.0,0.0,0.06521739130434782,0.0,0.021739130434782608,0.06521739130434782,0.0,0.021739130434782608,0.0,0.0,0.0,0.0,0.9782608695652174,0.0,0.0,0.717391304347826,0.10869565217391304,0.9565217391304348,0.0,0.0,0.0,0.8478260869565217,0.0,0.0,0.0,0.17391304347826086,0.043478260869565216,0.0,0.8260869565217391,0.1956521739130435,0.0,0.0,0.0,0.10869565217391304,0.021739130434782608,0.0,0.0,0.0,0.021739130434782608,0.8478260869565217,0.21739130434782608,0.8043478260869565,0.021739130434782608,0.8478260869565217
