Cluster,Category_Bamboos,Category_Bromeliads,Category_Cacti & Succulents,Category_Climbers,Category_Creepers & Vines,Category_Ferns,Category_Flowering Pot Plants,Category_Fruit Plants,Category_Grasses & Grass like plants,Category_Groundcovers_lawns,Category_Indoor Plants,Category_Lilies & Bulbous plants,Category_Medicinal Plants,Category_Orchids,Category_Palms and Cycads,Category_Rose_Hybrid_Climbers,Category_Rose_Miniature_Floribundas,Category_Shrubs,Category_Spice plants & edible Herbs,Category_Terrific Tropicals  The Ideal Gifts,Category_Trees,Category_Vegetable,Category_Water & Aquatic Plants,Flowering_Season_Apr_May_Summer,Flowering_Season_Dec_Jan_Winter,Flowering_Season_Feb_Mar_Spring,Flowering_Season_Flowers are inconspicuous,Flowering_Season_Flowers once in many years,Flowering_Season_Jun_Sep_Monsoon,Flowering_Season_Non Flowering,Flowering_Season_Oct_Nov_Autumn,Flowering_Season_Year_round_flowering,Foliage_Color_Blue,Foliage_Color_Blue Grey or Silver,Foliage_Color_Bronze or coppery,Foliage_Color_Brown,Foliage_Color_Cream or off white,Foliage_Color_Green,Foliage_Color_Orange,Foliage_Color_Pink,Foliage_Color_Purple,Foliage_Color_Red,Foliage_Color_Variegated,Foliage_Color_Very dark green almost black,Foliage_Color_White,Foliage_Color_Yellow,Height_or_Length_1 to 2 meters,Height_or_Length_2 to 4 meters,Height_or_Length_4 to 6 meters,Height_or_Length_50 cms to 100 cms,Height_or_Length_6 to 8 meters,Height_or_Length_8 to 12 meters,Height_or_Length_Less than 50 cms,Height_or_Length_More than 12 meters,Light_Low light tolerant,Light_Semi shade,Light_Shade growing,Light_Sun growing,Plant_Form_Climbing or growing on support,Plant_Form_Columnar,Plant_Form_Irregular,Plant_Form_Low spreading,Plant_Form_Oval,Plant_Form_Pyramidal,Plant_Form_Spherical or rounded,Plant_Form_Spreading,Plant_Form_Upright or Erect,Plant_Form_Weeping,Primary_Grown_for_Flowers,Primary_Grown_for_Foliage,Primary_Grown_for_Fruit or Seed,Primary_Grown_for_Roots or tubers,Primary_Grown_for_Stems or Timber,Spread_or_Width_1 to 2 meters,Spread_or_Width_2 to 4 meters,Spread_or_Width_4 to 6 meters,Spread_or_Width_6 to 8 meters,Spread_or_Width_8 to 12 meters,Spread_or_Width_More than 12 meters,Spread_or_Width_less_than_1_meter,Water_Normal,Water_Requires_less,Water_Requires_more
10,0.014925373134328358,0.014925373134328358,0.04477611940298507,0.0,0.0,0.0,0.014925373134328358,0.0,0.014925373134328358,0.13432835820895522,0.8955223880597015,0.0,0.0,0.0,0.04477611940298507,0.0,0.0,0.7761194029850746,0.0,0.0,0.0,0.0,0.029850746268656716,0.014925373134328358,0.0,0.014925373134328358,0.9850746268656716,0.014925373134328358,0.0,0.0,0.0,0.029850746268656716,0.0,0.0,0.04477611940298507,0.029850746268656716,0.1791044776119403,0.9552238805970149,0.014925373134328358,0.1044776119402985,0.07462686567164178,0.208955223880597,0.6119402985074627,0.0,0.208955223880597,0.2835820895522388,0.9552238805970149,0.0,0.0,0.04477611940298507,0.0,0.0,0.0,0.0,0.08955223880597014,0.9850746268656716,0.4626865671641791,0.6865671641791045,0.0,0.0,0.014925373134328358,0.0,0.014925373134328358,0.0,0.029850746268656716,0.1044776119402985,0.9701492537313433,0.0,0.0,1.0,0.0,0.0,0.0,0.029850746268656716,0.0,0.014925373134328358,0.0,0.0,0.0,0.9552238805970149,0.9253731343283582,0.14925373134328357,0.7313432835820896
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9893617021276596,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.9893617021276596,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,1.0,0.010638297872340425,0.0,0.0,0.06382978723404255,0.0,0.0,0.0,0.9042553191489362,0.5319148936170213,0.0,0.9893617021276596,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9893617021276596,1.0,0.010638297872340425,0.0
12,0.014492753623188406,0.0,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.0,0.0,0.08695652173913043,0.014492753623188406,0.028985507246376812,0.043478260869565216,0.028985507246376812,0.2463768115942029,0.0,0.0,0.0,0.0,0.8985507246376812,0.0,0.0,0.43478260869565216,0.043478260869565216,0.07246376811594203,0.8695652173913043,0.2318840579710145,0.6956521739130435,0.057971014492753624,0.0,0.8985507246376812,0.0,0.42028985507246375,0.07246376811594203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.014492753623188406,0.0,0.15942028985507245,0.463768115942029,0.2753623188405797,0.043478260869565216,0.043478260869565216,0.014492753623188406,0.0,0.0,0.0,0.855072463768116,0.11594202898550725,1.0,0.057971014492753624,0.0,0.21739130434782608,0.014492753623188406,0.0,0.0,0.028985507246376812,0.6521739130434783,0.6956521739130435,0.0,0.8985507246376812,0.0,0.10144927536231885,0.0,0.0,0.2898550724637681,0.5217391304347826,0.07246376811594203,0.014492753623188406,0.043478260869565216,0.0,0.043478260869565216,0.9710144927536232,0.43478260869565216,0.6956521739130435
13,0.020833333333333332,0.0,0.052083333333333336,0.0,0.0,0.0,0.0,0.041666666666666664,0.020833333333333332,0.03125,0.4375,0.0,0.07291666666666667,0.0,0.020833333333333332,0.0,0.0,0.9895833333333334,0.052083333333333336,0.0,0.9166666666666666,0.0,0.03125,0.03125,0.08333333333333333,0.10416666666666667,0.8958333333333334,0.052083333333333336,0.0,0.0,0.041666666666666664,0.0625,0.0,0.052083333333333336,0.052083333333333336,0.010416666666666666,0.11458333333333333,0.9583333333333334,0.0,0.010416666666666666,0.0,0.020833333333333332,0.3125,0.020833333333333332,0.11458333333333333,0.20833333333333334,0.0,0.13541666666666666,0.4895833333333333,0.0,0.11458333333333333,0.08333333333333333,0.0,0.17708333333333334,0.010416666666666666,0.9791666666666666,0.5,0.96875,0.0,0.041666666666666664,0.16666666666666666,0.0,0.0,0.03125,0.13541666666666666,0.4166666666666667,0.7395833333333334,0.07291666666666667,0.010416666666666666,0.96875,0.03125,0.0,0.020833333333333332,0.0625,0.4791666666666667,0.22916666666666666,0.08333333333333333,0.052083333333333336,0.07291666666666667,0.020833333333333332,0.9895833333333334,0.6145833333333334,0.8645833333333334
14,0.0,0.0,0.9259259259259259,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.037037037037037035,0.0,0.7407407407407407,0.0,0.0,0.2222222222222222,0.0,0.0,0.037037037037037035,0.0,0.0,1.0,0.037037037037037035,0.9629629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.037037037037037035,0.9629629629629629,0.0,1.0,0.0,0.0,0.0,0.0,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,0.9259259259259259,1.0,1.0,0.037037037037037035
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9745222929936306,0.025477707006369428,0.006369426751592357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9363057324840764,0.01910828025477707,0.044585987261146494,0.0,0.0,0.0,0.0,0.0,0.0,0.012738853503184714,0.0,1.0,0.044585987261146494,0.012738853503184714,0.006369426751592357,0.0,0.0,0.0,0.0,0.006369426751592357,0.9426751592356688,0.0,1.0,0.0,0.0,0.0,0.0,0.9426751592356688,0.012738853503184714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.21428571428571427,0.0,0.08928571428571429,0.0,0.14285714285714285,0.0,0.23214285714285715,0.0,0.0,0.017857142857142856,0.0,0.0,0.9642857142857143,0.0,0.0,0.08928571428571429,0.16071428571428573,0.25,0.75,0.25,0.05357142857142857,0.0,0.03571428571428571,0.05357142857142857,0.0,0.08928571428571429,0.017857142857142856,0.0,0.017857142857142856,1.0,0.0,0.0,0.0,0.05357142857142857,0.03571428571428571,0.0,0.017857142857142856,0.05357142857142857,0.0,0.0,0.0,0.0,0.16071428571428573,0.08928571428571429,0.0,0.75,0.0,0.7857142857142857,0.0,1.0,0.0,0.05357142857142857,0.017857142857142856,0.0,0.017857142857142856,0.03571428571428571,0.23214285714285715,0.48214285714285715,0.8571428571428571,0.07142857142857142,0.0,0.9285714285714286,0.017857142857142856,0.0,0.07142857142857142,0.0,0.03571428571428571,0.16071428571428573,0.48214285714285715,0.21428571428571427,0.10714285714285714,0.0,0.9821428571428571,0.6428571428571429,0.8214285714285714
17,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.24324324324324326,0.0,0.1891891891891892,0.05405405405405406,0.08108108108108109,0.43243243243243246,0.16216216216216217,0.0,0.0,0.24324324324324326,0.0,0.08108108108108109,0.0,0.0,0.0,1.0,0.7837837837837838,0.0,0.972972972972973,0.0,0.0,0.0,0.0,0.9459459459459459,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.10810810810810811,0.08108108108108109,0.21621621621621623,0.0,0.0,0.0,0.0,0.02702702702702703,1.0,0.972972972972973
18,0.0,0.0,0.029411764705882353,0.014705882352941176,0.014705882352941176,0.0,0.014705882352941176,0.058823529411764705,0.0,0.014705882352941176,0.0,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.9852941176470589,0.0,0.0,0.27941176470588236,0.0,0.014705882352941176,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.014705882352941176,0.0,0.029411764705882353,0.9411764705882353,0.0,0.0,0.0,0.0,0.014705882352941176,1.0,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.014705882352941176,0.014705882352941176,0.0,0.9705882352941176,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.8970588235294118,0.014705882352941176,0.9852941176470589,0.0,0.0,0.10294117647058823,0.0,0.029411764705882353,0.0,0.029411764705882353,0.35294117647058826,0.8823529411764706,0.07352941176470588,0.8970588235294118,0.058823529411764705,0.058823529411764705,0.0,0.014705882352941176,0.9264705882352942,0.0,0.04411764705882353,0.0,0.0,0.0,0.029411764705882353,0.9705882352941176,0.5735294117647058,0.7352941176470589
19,0.2,0.011111111111111112,0.14444444444444443,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.0,0.0,0.2,0.9666666666666667,0.24444444444444444,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.011111111111111112,0.06666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.08888888888888889,0.8333333333333334,0.0,0.03333333333333333,0.011111111111111112,0.011111111111111112,0.17777777777777778,0.0,0.1,0.03333333333333333,0.07777777777777778,0.05555555555555555,0.8777777777777778,0.0,0.03333333333333333,0.1111111111111111,0.1111111111111111,0.2777777777777778,0.0,0.1,0.044444444444444446,0.0,0.011111111111111112,0.0,0.011111111111111112,0.0,0.0,0.9777777777777777,0.0,0.0,0.9222222222222223,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.7666666666666667,0.0,0.0,0.011111111111111112,0.2,0.03333333333333333,0.03333333333333333,0.011111111111111112,0.9555555555555556,0.0,0.03333333333333333,0.0,0.022222222222222223,0.011111111111111112,0.0,0.0,0.0,0.0,0.9666666666666667,0.8666666666666667,0.25555555555555554,0.4
